Part Number,Description,Resistor,dimention,Power (1/XXW),Nominal Value ohms,Tolerance
A31SD043100080,S RES 1/20W 100 +-5% 0201,1,201,20,100,0.05
A31SD043100180,S RES 1/20W 1K +-5% 0201,1,201,20,1000,0.05
A31SD043100280,S RES 1/20W 10K +-5% 0201,1,201,20,10000,0.05
A31SD043100380,S RES 1/20W 100K +-5% 0201,1,201,20,100000,0.05
A31SD043100480,S RES 1/20W 1M +-5% 0201,1,201,20,1000000,0.05
A31SD043200280,S RES 1/20W 20K +-5% 0201,1,201,20,20000,0.05
A31SD300001P00,S ROW RES 1/16W 15 +-5% 8P4R 0804,1,804,16,15,0.05
A31SD300002V00,S ROW RES 1/16W 1K +-1% 8P4R 0804,1,804,16,1000,0.01
A31SD309100080,S ROW RES 1/16W 100 +-5% 8P4R 0804,1,804,16,100,0.05
A31SD309100280,S ROW RES 1/16W 10K +-5% 8P4R 0804,1,804,16,10000,0.05
A31SD309100380,S ROW RES 1/16W 100K +-5% 8P4R 0804,1,804,16,100000,0.05
A31SD309510A10,S ROW RES 1/16W 51 +-5% 8P4R 0804,1,804,16,51,0.05
A63.10031.16L,CHIP RES 10 J 1/8W 0805(ROHS),1,805,8,10,0.05
A63.10234.L0L,CHIP RES 1K J 1/16W 0402 13 REEL,1,402,16,1000,0.05
A63.10334.L0L,CHIP RES 10K J 1/16W 0402 13 REEL,1,402,16,10000,0.05
A63.10433.15L,CHIP RES 100K J 1/10W 0603(ROH,1,603,10,100000,0.05
A63.10434.L0L,CHIP RES 100K J 1/16W 0402(FOR YAMA),1,402,16,100000,0.05
A63.10434.L1L,CHIP RES 100K J 1/16W 0402 13 REEL,1,402,16,100000,0.05
A63.10534.L1L,CHIP RES 1M J 1/16W 0402 13 REEL,1,402,16,1000000,0.05
A63.10634.1DL,CHIP RES 10M J 1/16W 0402,1,402,16,10000000,0.05
A63.12434.L0L,CHIP RES 120K J 1/16W 0402,1,402,16,120000,0.05
A63.15134.1DL,CHIP RES 150 J 1/16W 0402,1,402,16,150,0.05
A63.22034.L0L,CHIP RES 22 J 1/16W 0402 13 REEL,1,402,16,22,0.05
A63.22134.1DL,CHIP RES 220 J 1/16W 0402,1,402,16,220,0.05
A63.22234.L0L,CHIP RES 2.2K J 1/16W 0402 13 REEL,1,402,16,2200,0.05
A63.33534.1DL,CHIP RES 3.3M J 1/16W 0402,1,402,16,3300000,0.05
A63.47234.L0L,CHIP RES 4.7K J 1/16W 0402 13 REEL,1,402,16,4700,0.05
A63.R0034.L0L,CHIP RES 0 J 1/16W 0402 13 REEL,1,402,16,0,0.05
